Player,Season,Team,Location,Opp Team,Date,Result,Mins Played,Field Goal,Field Goal Att,Field Goal %,3 Point Field Goal,3 Point Field Goal Att,3 Point Field Goal %,Free Throw,Free Throw Att,Free Throw %,Rebounds,Assists,Steals,Blocks,Turnovers,Points,Usage %,True Shooting %,Effective Fg %,Total Rebound %,Assist %,Offensive Rating,Defensive Rating,Game Score,Playoffs,Championship Season
Lebron James,2005-2006,CLE,@,BOS,2006-02-15,W,53:55,16.0,32.0,0.5,0.0,5.0,0.0,11.0,15.0,0.733,12.0,11.0,2.0,4.0,2.0,43.0,36.5,0.557,0.5,14.3,49.7,121.0,95.0,37.9,False,False
Lebron James,2005-2006,CLE,0,ORL,2006-02-21,W,42:51,10.0,24.0,0.417,1.0,5.0,0.2,5.0,7.0,0.714,2.0,9.0,1.0,2.0,2.0,26.0,33.8,0.48,0.438,3.1,35.0,111.0,112.0,19.7,False,False
Lebron James,2005-2006,CLE,@,PHI,2006-02-22,L,43:07,13.0,24.0,0.542,1.0,4.0,0.25,6.0,10.0,0.6,6.0,5.0,2.0,1.0,6.0,33.0,33.9,0.581,0.563,8.1,21.8,105.0,115.0,21.8,False,False
Lebron James,2005-2006,CLE,0,WAS,2006-02-24,L,47:46,7.0,21.0,0.333,3.0,8.0,0.375,8.0,19.0,0.421,7.0,9.0,1.0,0.0,4.0,25.0,33.1,0.426,0.405,8.4,33.5,89.0,115.0,13.3,False,False
Lebron James,2005-2006,CLE,@,DET,2006-02-26,L,37:46,9.0,20.0,0.45,2.0,3.0,0.667,2.0,3.0,0.667,9.0,7.0,0.0,0.0,3.0,22.0,30.3,0.516,0.5,13.6,45.5,102.0,102.0,15.0,False,False
Lebron James,2005-2006,CLE,0,DET,2006-02-27,L,46:34,9.0,22.0,0.409,0.0,3.0,0.0,8.0,10.0,0.8,4.0,6.0,0.0,1.0,5.0,26.0,34.8,0.492,0.409,5.1,34.9,94.0,106.0,14.9,False,False
Lebron James,2005-2006,CLE,0,SAC,2006-03-01,L,44:40,7.0,21.0,0.333,1.0,4.0,0.25,4.0,7.0,0.571,7.0,12.0,1.0,2.0,5.0,19.0,30.5,0.395,0.357,10.3,45.3,87.0,109.0,13.8,False,False
Lebron James,2005-2006,CLE,@,CHI,2006-03-02,W,46:37,11.0,27.0,0.407,0.0,3.0,0.0,11.0,13.0,0.846,11.0,8.0,0.0,1.0,5.0,33.0,37.8,0.504,0.407,11.9,38.0,99.0,100.0,21.5,False,False
Lebron James,2005-2006,CLE,0,CHI,2006-03-05,W,46:27,15.0,28.0,0.536,1.0,3.0,0.333,6.0,6.0,1.0,9.0,7.0,2.0,0.0,3.0,37.0,34.5,0.604,0.554,12.1,33.6,120.0,82.0,28.8,False,False
Lebron James,2005-2006,CLE,0,TOR,2006-03-07,W,43:44,5.0,17.0,0.294,2.0,6.0,0.333,5.0,6.0,0.833,12.0,8.0,1.0,0.0,2.0,17.0,23.2,0.433,0.353,16.9,27.0,100.0,109.0,14.5,False,False
Lebron James,2005-2006,CLE,@,TOR,2006-03-08,W,44:17,13.0,24.0,0.542,1.0,3.0,0.333,8.0,12.0,0.667,6.0,6.0,1.0,0.0,0.0,35.0,32.2,0.598,0.563,7.7,29.7,129.0,112.0,28.4,False,False
Lebron James,2005-2006,CLE,@,ORL,2006-03-10,L,38:58,9.0,22.0,0.409,2.0,6.0,0.333,5.0,6.0,0.833,7.0,2.0,2.0,1.0,5.0,25.0,34.9,0.507,0.455,10.8,15.5,94.0,119.0,14.8,False,False
Lebron James,2005-2006,CLE,@,MIA,2006-03-12,L,45:17,11.0,27.0,0.407,1.0,6.0,0.167,24.0,28.0,0.857,7.0,4.0,0.0,1.0,5.0,47.0,45.1,0.598,0.426,8.7,23.1,118.0,110.0,31.5,False,False
Lebron James,2005-2006,CLE,@,DAL,2006-03-14,L,44:58,14.0,27.0,0.519,0.0,2.0,0.0,8.0,8.0,1.0,12.0,5.0,0.0,2.0,4.0,36.0,36.9,0.59,0.519,13.9,28.0,115.0,103.0,27.2,False,False
